algorithm,n_clusters,silhouette,calinski_harabasz,davies_bouldin,dunn_index,inter_cluster_dist,intra_cluster_dist,params
KMeans,4,0.2795260373782607,2123.089023206179,1.3844953210187143,1.3954776383874974,3.1846282076728607,2.1638535043133174,"{""n_clusters"": 4}"
DBSCAN,3,0.17564834576566765,17.655118449453315,0.6186881497560953,0.7976968411753069,,,"{""eps"": 0.7903929089619349, ""min_samples"": 5}"
Hierarchical,4,0.24821089291873144,1930.0068952678557,1.4968134560437485,2.3962289451054555,2.922239401751115,2.179685931267139,"{""n_clusters"": 4, ""linkage"": ""ward""}"
