,recency,recency,recency,recency,recency,frequency,frequency,frequency,frequency,frequency,monetary,monetary,monetary,monetary,monetary,avg_basket,avg_basket,avg_basket,avg_basket,avg_basket,unique_products,unique_products,unique_products,unique_products,unique_products,clv,clv,clv,clv,clv
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
kmeans_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49.47210994341148,55.386435079097474,30.0,0,332,4.040420371867421,1.8146248244651655,4.0,2,14,1355.0269943411479,833.9000768114282,1154.47,201.12,6372.58,13.986505565084146,7.200292166409122,14.724,2.4325,47.65135593220339,87.93371059013742,52.67653755355779,73.0,18,421,3907.5395707942953,5240.062048662044,2460.3629237288137,223.84928571428574,56506.710238095235
1,13.872503840245775,24.681927920545135,7.0,0,371,14.417818740399385,15.989821440414062,11.0,2,209,8833.174101382489,21599.210613524054,4124.69,975.36,280206.02,125.1026640468745,2200.566784028518,20.56374251497006,2.771005291005291,56157.5,159.61597542242703,158.54031272763987,117.0,3,1787,13545.39070755001,49222.25039763661,5584.705056179775,1241.059189189189,983895.825
2,154.42633228840126,115.65256479133089,130.0,0,373,1.0752351097178683,0.32365132464730806,1.0,1,6,461.73448965517247,2247.115672595299,270.8,3.75,77183.6,94.33484533144397,1965.7109584413258,17.108333333333334,2.1012857142857144,77183.6,22.449529780564262,22.106345670712034,16.0,1,219,164898.06584676512,820213.651141597,93556.8,1368.75,28172014.000000004
3,94.20701754385965,79.84313043480003,71.0,0,357,2.8456140350877193,1.3091378773850337,2.0,2,12,875.2943403508772,1728.7624352339487,609.85,6.9,44534.3,55.31844829376938,191.7475799679391,22.728333333333335,2.150588235294118,4453.43,21.4046783625731,11.915293406507992,21.0,1,58,3581.079106592819,7261.555607641219,1861.5000000000002,40.56048632218845,165867.54591836737
